Date,Day,CodedDay,Zone,Weather,Temperature,ActualTime
1-10-2017,Monday,1,1,42,45,22
1-10-2017,Monday,1,2,6,33,28
1-10-2017,Monday,1,3,9,6,33
1-10-2017,Monday,1,4,11,13,26
1-10-2017,Monday,1,5,2,43,40
1-10-2017,Monday,1,6,0,45,32
1-10-2017,Monday,1,7,43,40,30
1-10-2017,Monday,1,8,11,37,21
1-10-2017,Monday,1,9,26,30,29
1-10-2017,Monday,1,10,2,18,24
1-10-2017,Monday,1,11,30,27,31
1-10-2017,Monday,1,12,3,22,34
1-10-2017,Monday,1,13,32,37,39
1-10-2017,Monday,1,14,1,26,34
1-10-2017,Monday,1,15,47,23,39
1-10-2017,Monday,1,16,46,30,37
1-10-2017,Monday,1,17,30,12,36
1-10-2017,Monday,1,18,12,26,23
1-10-2017,Monday,1,19,10,13,27
1-10-2017,Monday,1,20,10,7,32
1-10-2017,Monday,1,21,7,44,38
1-10-2017,Monday,1,22,9,37,35
1-10-2017,Monday,1,23,22,25,33
1-10-2017,Monday,1,24,15,17,37
1-10-2017,Monday,1,25,33,40,26
1-10-2017,Monday,1,26,6,20,23
1-10-2017,Monday,1,27,10,18,36
1-10-2017,Monday,1,28,18,8,40
1-10-2017,Monday,1,29,26,40,29
1-10-2017,Monday,1,30,10,14,30
1-10-2017,Monday,1,31,40,14,30
1-10-2017,Monday,1,32,46,28,25
1-10-2017,Monday,1,33,28,8,32
1-10-2017,Monday,1,34,43,32,21
1-10-2017,Monday,1,35,7,24,25
1-10-2017,Monday,1,36,46,38,32
1-10-2017,Monday,1,37,34,36,30
1-10-2017,Monday,1,38,31,24,30
1-10-2017,Monday,1,39,30,18,26
1-10-2017,Monday,1,40,26,44,22
1-10-2017,Monday,1,41,4,9,36
1-10-2017,Monday,1,42,39,13,32
1-10-2017,Monday,1,43,45,18,30
1-10-2017,Monday,1,44,3,18,24
1-10-2017,Monday,1,45,8,33,33
1-10-2017,Monday,1,46,5,37,27
1-10-2017,Monday,1,47,29,36,20
1-10-2017,Monday,1,48,38,32,23
1-10-2017,Monday,1,49,43,12,31
1-10-2017,Monday,1,50,27,26,36
1-10-2017,Monday,1,51,42,35,30
1-10-2017,Monday,1,52,34,8,36
1-10-2017,Monday,1,53,43,6,30
1-10-2017,Monday,1,54,36,33,38
1-10-2017,Monday,1,55,41,6,29
1-10-2017,Monday,1,56,0,31,20
1-10-2017,Monday,1,57,41,36,22
1-10-2017,Monday,1,58,21,23,36
1-10-2017,Monday,1,59,1,22,28
1-10-2017,Monday,1,60,42,13,21
1-10-2017,Monday,1,61,25,29,20
1-10-2017,Monday,1,62,28,18,29
1-10-2017,Monday,1,63,29,8,37
1-10-2017,Monday,1,64,28,28,36
1-10-2017,Monday,1,65,4,29,25
1-10-2017,Monday,1,66,2,17,38
1-10-2017,Monday,1,67,27,22,31
1-10-2017,Monday,1,68,29,24,38
1-10-2017,Monday,1,69,10,27,24
1-10-2017,Monday,1,70,38,36,24
1-10-2017,Monday,1,71,45,19,26
1-10-2017,Monday,1,72,16,32,32
1-10-2017,Monday,1,73,10,12,20
1-10-2017,Monday,1,74,9,41,30
1-10-2017,Monday,1,75,27,13,29
1-10-2017,Monday,1,76,23,36,30
1-10-2017,Monday,1,77,31,39,31
1-10-2017,Monday,1,78,34,12,21
1-10-2017,Monday,1,79,33,16,25
1-10-2017,Monday,1,80,37,26,21
1-10-2017,Monday,1,81,41,10,34
1-10-2017,Monday,1,82,0,10,37
1-10-2017,Monday,1,83,47,24,21
1-10-2017,Monday,1,84,20,32,28
1-10-2017,Monday,1,85,28,7,39
1-10-2017,Monday,1,86,14,20,36
1-10-2017,Monday,1,87,22,14,20
1-10-2017,Monday,1,88,6,14,31
1-10-2017,Monday,1,89,8,6,33
1-10-2017,Monday,1,90,1,40,30
1-10-2017,Monday,1,91,3,28,24
1-10-2017,Monday,1,92,39,34,29
1-10-2017,Monday,1,93,10,25,22
1-10-2017,Monday,1,94,22,29,26
1-10-2017,Monday,1,95,4,29,38
1-10-2017,Monday,1,96,41,21,28
1-10-2017,Monday,1,97,9,18,24
1-10-2017,Monday,1,98,28,41,23
1-10-2017,Monday,1,99,46,8,39
1-10-2017,Monday,1,100,24,17,24
1-10-2017,Monday,1,101,22,35,24
1-10-2017,Monday,1,102,6,36,32
1-10-2017,Monday,1,103,17,18,28
1-10-2017,Monday,1,104,14,29,39
1-10-2017,Monday,1,105,25,28,23
1-10-2017,Monday,1,106,7,18,25
1-10-2017,Monday,1,107,11,42,26
1-10-2017,Monday,1,108,30,21,29
1-10-2017,Monday,1,109,27,14,35
1-10-2017,Monday,1,110,5,38,29
1-10-2017,Monday,1,111,23,26,29
1-10-2017,Monday,1,112,6,27,31
1-10-2017,Monday,1,113,5,40,35
1-10-2017,Monday,1,114,44,27,28
1-10-2017,Monday,1,115,8,13,32
1-10-2017,Monday,1,116,0,36,27
1-10-2017,Monday,1,117,15,15,34
1-10-2017,Monday,1,118,41,19,37
1-10-2017,Monday,1,119,12,9,33
1-10-2017,Monday,1,120,23,30,29
1-10-2017,Monday,1,121,4,24,37
1-10-2017,Monday,1,122,11,16,33
1-10-2017,Monday,1,123,31,43,26
1-10-2017,Monday,1,124,8,24,21
1-10-2017,Monday,1,125,6,21,20
1-10-2017,Monday,1,126,47,26,31
1-10-2017,Monday,1,127,8,44,23
1-10-2017,Monday,1,128,38,7,22
1-10-2017,Monday,1,129,7,20,35
1-10-2017,Monday,1,130,13,6,27
1-10-2017,Monday,1,131,16,9,31
1-10-2017,Monday,1,132,44,10,29
1-10-2017,Monday,1,133,32,45,40
1-10-2017,Monday,1,134,46,44,25
1-10-2017,Monday,1,135,46,7,30
1-10-2017,Monday,1,136,27,11,36
1-10-2017,Monday,1,137,16,38,36
1-10-2017,Monday,1,138,28,41,20
1-10-2017,Monday,1,139,45,12,38
1-10-2017,Monday,1,140,20,33,28
1-10-2017,Monday,1,141,23,12,24
1-10-2017,Monday,1,142,0,18,26
1-10-2017,Monday,1,143,3,28,33
1-10-2017,Monday,1,144,41,28,29
2-10-2017,Tuesday,2,1,8,42,36
2-10-2017,Tuesday,2,2,5,33,25
2-10-2017,Tuesday,2,3,36,44,35
2-10-2017,Tuesday,2,4,6,42,20
2-10-2017,Tuesday,2,5,0,15,26
2-10-2017,Tuesday,2,6,13,40,25
2-10-2017,Tuesday,2,7,40,6,38
2-10-2017,Tuesday,2,8,42,41,33
2-10-2017,Tuesday,2,9,19,42,36
2-10-2017,Tuesday,2,10,37,7,26
2-10-2017,Tuesday,2,11,23,26,27
2-10-2017,Tuesday,2,12,9,38,38
2-10-2017,Tuesday,2,13,32,34,22
2-10-2017,Tuesday,2,14,2,23,36
2-10-2017,Tuesday,2,15,27,19,27
2-10-2017,Tuesday,2,16,29,39,38
2-10-2017,Tuesday,2,17,19,33,38
2-10-2017,Tuesday,2,18,30,17,23
2-10-2017,Tuesday,2,19,33,17,37
2-10-2017,Tuesday,2,20,3,25,29
2-10-2017,Tuesday,2,21,7,36,38
2-10-2017,Tuesday,2,22,43,13,35
2-10-2017,Tuesday,2,23,22,34,23
2-10-2017,Tuesday,2,24,20,31,30
2-10-2017,Tuesday,2,25,42,17,38
2-10-2017,Tuesday,2,26,28,44,30
2-10-2017,Tuesday,2,27,1,43,20
2-10-2017,Tuesday,2,28,7,8,38
2-10-2017,Tuesday,2,29,2,38,31
2-10-2017,Tuesday,2,30,12,26,33
2-10-2017,Tuesday,2,31,20,22,38
2-10-2017,Tuesday,2,32,22,16,31
2-10-2017,Tuesday,2,33,44,42,21
2-10-2017,Tuesday,2,34,40,11,27
2-10-2017,Tuesday,2,35,27,10,31
2-10-2017,Tuesday,2,36,18,26,30
2-10-2017,Tuesday,2,37,42,31,21
2-10-2017,Tuesday,2,38,19,34,38
2-10-2017,Tuesday,2,39,6,34,25
2-10-2017,Tuesday,2,40,42,35,35
2-10-2017,Tuesday,2,41,19,24,37
2-10-2017,Tuesday,2,42,14,20,36
2-10-2017,Tuesday,2,43,42,37,39
2-10-2017,Tuesday,2,44,27,18,28
2-10-2017,Tuesday,2,45,15,26,39
2-10-2017,Tuesday,2,46,9,15,23
2-10-2017,Tuesday,2,47,7,23,22
2-10-2017,Tuesday,2,48,35,24,39
2-10-2017,Tuesday,2,49,23,11,33
2-10-2017,Tuesday,2,50,22,42,27
2-10-2017,Tuesday,2,51,8,21,34
2-10-2017,Tuesday,2,52,34,25,30
2-10-2017,Tuesday,2,53,35,29,34
2-10-2017,Tuesday,2,54,45,22,29
2-10-2017,Tuesday,2,55,45,45,29
2-10-2017,Tuesday,2,56,10,7,31
2-10-2017,Tuesday,2,57,1,32,24
2-10-2017,Tuesday,2,58,44,44,26
2-10-2017,Tuesday,2,59,4,41,26
2-10-2017,Tuesday,2,60,40,23,36
2-10-2017,Tuesday,2,61,37,36,32
2-10-2017,Tuesday,2,62,8,32,33
2-10-2017,Tuesday,2,63,10,8,23
2-10-2017,Tuesday,2,64,11,25,40
2-10-2017,Tuesday,2,65,41,7,31
2-10-2017,Tuesday,2,66,3,17,20
2-10-2017,Tuesday,2,67,35,33,25
2-10-2017,Tuesday,2,68,46,10,35
2-10-2017,Tuesday,2,69,23,16,23
2-10-2017,Tuesday,2,70,11,35,27
2-10-2017,Tuesday,2,71,26,24,34
2-10-2017,Tuesday,2,72,6,12,30
2-10-2017,Tuesday,2,73,46,20,20
2-10-2017,Tuesday,2,74,28,11,26
2-10-2017,Tuesday,2,75,5,20,31
2-10-2017,Tuesday,2,76,8,34,22
2-10-2017,Tuesday,2,77,28,43,36
2-10-2017,Tuesday,2,78,23,10,26
2-10-2017,Tuesday,2,79,33,41,20
2-10-2017,Tuesday,2,80,13,44,33
2-10-2017,Tuesday,2,81,17,31,23
2-10-2017,Tuesday,2,82,16,36,29
2-10-2017,Tuesday,2,83,17,10,22
2-10-2017,Tuesday,2,84,11,20,33
2-10-2017,Tuesday,2,85,8,32,25
2-10-2017,Tuesday,2,86,1,45,25
2-10-2017,Tuesday,2,87,40,36,23
2-10-2017,Tuesday,2,88,3,38,31
2-10-2017,Tuesday,2,89,42,39,28
2-10-2017,Tuesday,2,90,5,41,29
2-10-2017,Tuesday,2,91,21,6,39
2-10-2017,Tuesday,2,92,0,15,31
2-10-2017,Tuesday,2,93,8,13,34
2-10-2017,Tuesday,2,94,29,19,22
2-10-2017,Tuesday,2,95,45,14,27
2-10-2017,Tuesday,2,96,5,28,32
2-10-2017,Tuesday,2,97,20,15,26
2-10-2017,Tuesday,2,98,28,25,29
2-10-2017,Tuesday,2,99,33,23,24
2-10-2017,Tuesday,2,100,34,21,40
2-10-2017,Tuesday,2,101,27,19,24
2-10-2017,Tuesday,2,102,26,7,40
2-10-2017,Tuesday,2,103,22,27,29
2-10-2017,Tuesday,2,104,37,28,30
2-10-2017,Tuesday,2,105,21,37,37
2-10-2017,Tuesday,2,106,31,24,27
2-10-2017,Tuesday,2,107,17,12,20
2-10-2017,Tuesday,2,108,12,27,40
2-10-2017,Tuesday,2,109,24,8,25
2-10-2017,Tuesday,2,110,20,20,38
2-10-2017,Tuesday,2,111,30,39,23
2-10-2017,Tuesday,2,112,5,37,32
2-10-2017,Tuesday,2,113,29,10,27
2-10-2017,Tuesday,2,114,1,42,29
2-10-2017,Tuesday,2,115,12,28,40
2-10-2017,Tuesday,2,116,11,43,40
2-10-2017,Tuesday,2,117,47,33,26
2-10-2017,Tuesday,2,118,22,45,38
2-10-2017,Tuesday,2,119,23,32,23
2-10-2017,Tuesday,2,120,34,29,25
2-10-2017,Tuesday,2,121,11,10,39
2-10-2017,Tuesday,2,122,12,40,28
2-10-2017,Tuesday,2,123,35,8,38
2-10-2017,Tuesday,2,124,1,16,40
2-10-2017,Tuesday,2,125,30,39,21
2-10-2017,Tuesday,2,126,23,38,38
2-10-2017,Tuesday,2,127,12,43,32
2-10-2017,Tuesday,2,128,9,20,36
2-10-2017,Tuesday,2,129,42,43,22
2-10-2017,Tuesday,2,130,33,19,32
2-10-2017,Tuesday,2,131,18,27,37
2-10-2017,Tuesday,2,132,39,22,33
2-10-2017,Tuesday,2,133,14,13,29
2-10-2017,Tuesday,2,134,13,41,36
2-10-2017,Tuesday,2,135,13,34,32
2-10-2017,Tuesday,2,136,35,12,37
2-10-2017,Tuesday,2,137,7,18,21
2-10-2017,Tuesday,2,138,42,18,35
2-10-2017,Tuesday,2,139,1,35,32
2-10-2017,Tuesday,2,140,33,37,36
2-10-2017,Tuesday,2,141,33,12,28
2-10-2017,Tuesday,2,142,6,10,36
2-10-2017,Tuesday,2,143,17,37,25
2-10-2017,Tuesday,2,144,2,39,40
3-10-2017,Wednesday,3,1,1,13,35
3-10-2017,Wednesday,3,2,42,35,25
3-10-2017,Wednesday,3,3,40,19,22
3-10-2017,Wednesday,3,4,33,43,28
3-10-2017,Wednesday,3,5,21,30,25
3-10-2017,Wednesday,3,6,18,11,33
3-10-2017,Wednesday,3,7,3,20,36
3-10-2017,Wednesday,3,8,42,39,21
3-10-2017,Wednesday,3,9,5,7,32
3-10-2017,Wednesday,3,10,30,28,35
3-10-2017,Wednesday,3,11,5,39,24
3-10-2017,Wednesday,3,12,14,26,24
3-10-2017,Wednesday,3,13,11,18,36
3-10-2017,Wednesday,3,14,33,24,32
3-10-2017,Wednesday,3,15,26,36,38
3-10-2017,Wednesday,3,16,8,39,23
3-10-2017,Wednesday,3,17,26,24,28
3-10-2017,Wednesday,3,18,11,10,27
3-10-2017,Wednesday,3,19,18,28,40
3-10-2017,Wednesday,3,20,33,17,27
3-10-2017,Wednesday,3,21,17,30,25
3-10-2017,Wednesday,3,22,3,26,31
3-10-2017,Wednesday,3,23,10,45,36
3-10-2017,Wednesday,3,24,28,45,30
3-10-2017,Wednesday,3,25,43,38,34
3-10-2017,Wednesday,3,26,11,39,25
3-10-2017,Wednesday,3,27,29,13,40
3-10-2017,Wednesday,3,28,39,27,33
3-10-2017,Wednesday,3,29,17,42,24
3-10-2017,Wednesday,3,30,34,10,37
3-10-2017,Wednesday,3,31,22,22,33
3-10-2017,Wednesday,3,32,16,37,37
3-10-2017,Wednesday,3,33,33,44,24
3-10-2017,Wednesday,3,34,34,25,40
3-10-2017,Wednesday,3,35,4,45,30
3-10-2017,Wednesday,3,36,35,15,38
3-10-2017,Wednesday,3,37,21,13,32
3-10-2017,Wednesday,3,38,26,8,31
3-10-2017,Wednesday,3,39,37,6,25
3-10-2017,Wednesday,3,40,11,24,25
3-10-2017,Wednesday,3,41,47,15,33
3-10-2017,Wednesday,3,42,44,30,24
3-10-2017,Wednesday,3,43,39,16,26
3-10-2017,Wednesday,3,44,1,22,35
3-10-2017,Wednesday,3,45,35,30,25
3-10-2017,Wednesday,3,46,24,43,26
3-10-2017,Wednesday,3,47,19,25,29
3-10-2017,Wednesday,3,48,11,25,23
3-10-2017,Wednesday,3,49,16,28,27
3-10-2017,Wednesday,3,50,15,24,35
3-10-2017,Wednesday,3,51,11,6,20
3-10-2017,Wednesday,3,52,30,7,28
3-10-2017,Wednesday,3,53,11,17,22
3-10-2017,Wednesday,3,54,3,40,37
3-10-2017,Wednesday,3,55,0,6,22
3-10-2017,Wednesday,3,56,41,36,32
3-10-2017,Wednesday,3,57,38,21,30
3-10-2017,Wednesday,3,58,13,16,27
3-10-2017,Wednesday,3,59,11,38,26
3-10-2017,Wednesday,3,60,42,21,39
3-10-2017,Wednesday,3,61,45,14,36
3-10-2017,Wednesday,3,62,14,6,24
3-10-2017,Wednesday,3,63,38,35,29
3-10-2017,Wednesday,3,64,14,29,23
3-10-2017,Wednesday,3,65,24,18,38
3-10-2017,Wednesday,3,66,27,24,38
3-10-2017,Wednesday,3,67,25,18,37
3-10-2017,Wednesday,3,68,33,30,29
3-10-2017,Wednesday,3,69,20,25,32
3-10-2017,Wednesday,3,70,28,40,28
3-10-2017,Wednesday,3,71,45,38,32
3-10-2017,Wednesday,3,72,43,36,35
3-10-2017,Wednesday,3,73,36,21,36
3-10-2017,Wednesday,3,74,21,35,38
3-10-2017,Wednesday,3,75,0,8,27
3-10-2017,Wednesday,3,76,23,32,40
3-10-2017,Wednesday,3,77,25,25,37
3-10-2017,Wednesday,3,78,31,25,34
3-10-2017,Wednesday,3,79,44,21,31
3-10-2017,Wednesday,3,80,25,45,29
3-10-2017,Wednesday,3,81,35,36,22
3-10-2017,Wednesday,3,82,8,35,29
3-10-2017,Wednesday,3,83,17,25,31
3-10-2017,Wednesday,3,84,28,16,25
3-10-2017,Wednesday,3,85,43,12,27
3-10-2017,Wednesday,3,86,20,45,24
3-10-2017,Wednesday,3,87,33,35,29
3-10-2017,Wednesday,3,88,31,42,36
3-10-2017,Wednesday,3,89,26,41,25
3-10-2017,Wednesday,3,90,7,27,22
3-10-2017,Wednesday,3,91,6,18,28
3-10-2017,Wednesday,3,92,41,14,35
3-10-2017,Wednesday,3,93,40,41,37
3-10-2017,Wednesday,3,94,6,30,34
3-10-2017,Wednesday,3,95,18,24,39
3-10-2017,Wednesday,3,96,35,34,36
3-10-2017,Wednesday,3,97,17,27,34
3-10-2017,Wednesday,3,98,47,37,32
3-10-2017,Wednesday,3,99,47,19,33
3-10-2017,Wednesday,3,100,40,9,27
3-10-2017,Wednesday,3,101,19,9,35
3-10-2017,Wednesday,3,102,13,26,20
3-10-2017,Wednesday,3,103,18,28,25
3-10-2017,Wednesday,3,104,18,33,39
3-10-2017,Wednesday,3,105,12,33,39
3-10-2017,Wednesday,3,106,2,10,38
3-10-2017,Wednesday,3,107,25,32,21
3-10-2017,Wednesday,3,108,34,40,20
3-10-2017,Wednesday,3,109,25,27,36
3-10-2017,Wednesday,3,110,40,44,27
3-10-2017,Wednesday,3,111,14,18,38
3-10-2017,Wednesday,3,112,13,11,30
3-10-2017,Wednesday,3,113,19,32,22
3-10-2017,Wednesday,3,114,24,42,38
3-10-2017,Wednesday,3,115,17,35,35
3-10-2017,Wednesday,3,116,33,43,27
3-10-2017,Wednesday,3,117,35,12,20
3-10-2017,Wednesday,3,118,8,44,24
3-10-2017,Wednesday,3,119,30,33,38
3-10-2017,Wednesday,3,120,27,6,31
3-10-2017,Wednesday,3,121,26,37,25
3-10-2017,Wednesday,3,122,29,29,34
3-10-2017,Wednesday,3,123,26,42,21
3-10-2017,Wednesday,3,124,25,23,20
3-10-2017,Wednesday,3,125,5,42,39
